Unnamed: 0,tickers,market,name,BPS,PER,PBR,EPS,DIV,DPS,티커,상장주식수,외_보유수량,외_지분율,외_한도수량,외_한도소진율,mmt,naverTheme,시가총액,-1,0,1,종가
62,12630,KOSPI,HDC,0.0,0.0,0.0,0.0,0.0,0.0,12630,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['스마트홈(홈네트워크)', '건설 대표주', '자동차부품', '철도', '면세점', '지주사', 'GTX(수도권 광역급행철도)', '재난/안전(지진/화재 등)', '호텔/리조트', '사물인터넷']",0.9976,0.001,0.074,0.924,16700.0
63,39570,KOSPI,HDC랩스,0.0,0.0,0.0,0.0,0.0,0.0,39570,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['스마트홈(홈네트워크)', '철도', '사물인터넷']",0.2089,0.0,0.0,1.0,8050.0
64,89470,KOSPI,HDC현대EP,0.0,0.0,0.0,0.0,0.0,0.0,89470,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['자동차부품', '재난/안전(지진/화재 등)']",0.139,0.0,0.0,0.999,4360.0
65,294870,KOSPI,HDC현대산업개발,0.0,0.0,0.0,0.0,0.0,0.0,294870,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['건설 대표주', 'GTX(수도권 광역급행철도)', '호텔/리조트']",1.3543,0.0,0.005,0.995,20550.0
66,9540,KOSPI,HD한국조선해양,0.0,0.0,0.0,0.0,0.0,0.0,9540,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['조선', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', '밸류업(24년 기업가치 제고계획 발표)', '지주사']",31.1401,0.0,0.0,1.0,440000.0
67,267250,KOSPI,HD현대,0.0,0.0,0.0,0.0,0.0,0.0,267250,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['조선', '조선기자재', 'LNG(액화천연가스)', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', '태양광에너지', '지주사', '건설기계', '우크라이나 재건', '전력설비']",18.5633,0.001,0.032,0.966,235000.0
68,267270,KOSPI,HD현대건설기계,0.0,0.0,0.0,0.0,0.0,0.0,267270,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['밸류업(24년 기업가치 제고계획 발표)', '건설기계', '우크라이나 재건']",2.1002,0.002,0.121,0.877,121000.0
69,443060,KOSPI,HD현대마린솔루션,0.0,0.0,0.0,0.0,0.0,0.0,443060,1000000.0,100000.0,10.0,500000.0,20.0,,"['조선기자재', '밸류업(24년 기업가치 제고계획 발표)']",8.7596,,,,195400.0
70,71970,KOSPI,HD현대마린엔진,0.0,0.0,0.0,0.0,0.0,0.0,71970,1000000.0,100000.0,10.0,500000.0,20.0,,['조선기자재'],3.1479,,,,92800.0
71,322000,KOSPI,HD현대에너지솔루션,0.0,0.0,0.0,0.0,0.0,0.0,322000,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['전력저장장치(ESS)', '태양광에너지']",0.6496,0.0,0.0,1.0,58000.0
72,42670,KOSPI,HD현대인프라코어,0.0,0.0,0.0,0.0,0.0,0.0,42670,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['LNG(액화천연가스)', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '건설기계', '우크라이나 재건']",2.6061,0.0,0.0,1.0,13800.0
73,267260,KOSPI,HD현대일렉트릭,0.0,0.0,0.0,0.0,0.0,0.0,267260,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', '전력설비']",32.154,0.0,0.003,0.997,892000.0
74,329180,KOSPI,HD현대중공업,0.0,0.0,0.0,0.0,0.0,0.0,329180,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['조선', 'LNG(액화천연가스)', '밸류업(24년 기업가치 제고계획 발표)']",66.2305,0.0,0.003,0.997,631000.0
